Pos.,Selección,Conf.,Detalle de Ajustes y Fórmulas Específicas,Fuerza Base,Ajuste Torneo,Poder Final
1,🇪🇸 España,UEFA,Euro 70% [0 / -2] | UNL 30% [0 / -1],169.60,+15 (UEFA),184.60
2,🇫🇷 Francia,UEFA,Euro 70% [-2 / -15] | UNL 30% [-2 / 0],166.45,+15 (UEFA),181.45
3,🇳🇱 Países Bajos,UEFA,Euro 70% [-2 / -15] | UNL 30% [-3 / -3],166.10,+15 (UEFA),181.10
4,🇦🇷 Argentina,CONMEBOL,Copa América: [0 / 0] (Bicampeón invicto),170.00,+7 (CONMEBOL),177.00
5,🇨🇴 Colombia,CONMEBOL,Copa América: [-1 / -2] (Subcampeón),168.65,+7 (CONMEBOL),175.65
6,🇵🇹 Portugal,UEFA,Euro 70% [-8 / -15] | UNL 30% [0 / -25] (Campeón UNL),160.06,+15 (UEFA),175.06
7,🏴󠁧󠁢󠁥󠁮󠁧󠁿 Inglaterra,UEFA,Euro 70% [-1 / -1] | UNL 30% [-25 / -25],160.00,+15 (UEFA),175.00
8,🇨🇦 Canadá,CONCACAF,Ponderado Copa Oro y Copa América (Invitado),167.35,+7 (CONMEBOL),174.35
9,🇧🇪 Bélgica,UEFA,Euro 70% [-8 / -8] | UNL 30% [-15 / -3],158.40,+15 (UEFA),173.40
10,🇺🇾 Uruguay,CONMEBOL,Copa América: [-2 / -8],165.90,+7 (CONMEBOL),172.90
11,🇩🇪 Alemania,UEFA,Euro 70% [-8 / -15] | UNL 30% [-2 / -25],157.90,+15 (UEFA),172.90
12,🇲🇽 México,CONCACAF,Copa Oro: [0 / -1],169.65,+2 (CONCACAF),171.65
13,🇶🇦 Catar,AFC,Copa Asiática: [0 / -2],169.30,+2 (AFC),171.30
14,🇧🇷 Brasil,CONMEBOL,Copa América: [-8 / -1],164.45,+7 (CONMEBOL),171.45
15,🇮🇷 Irán,AFC,Copa Asiática: [-2 / -2],168.00,+2 (AFC),170.00
16,🇨🇭 Suiza,UEFA,Euro 70% [-8 / -8] | UNL 30% [-25 / -25],154.90,+15 (UEFA),169.90
17,🇪🇨 Ecuador,CONMEBOL,Copa América: [-8 / -8],162.00,+7 (CONMEBOL),169.00
18,🇭🇷 Croacia,UEFA,Euro 70% [-25 / -15] | UNL 30% [-8 / -1],153.15,+15 (UEFA),168.15
19,🇰🇷 Corea del Sur,AFC,Copa Asiática: [-2 / -8],165.90,+2 (AFC),167.90
20,🇩🇰 Dinamarca,UEFA,Euro 70% [-15 / -2] | UNL 30% [-25 / -25],151.40,+15 (UEFA),166.40
21,🇯🇵 Japón,AFC,Copa Asiática: [-8 / -1],164.45,+2 (AFC),166.45
22,🇨🇮 Costa de Marfil,CAF,AFCON: [0 / -15],164.75,+1 (CAF),165.75
23,🇳🇬 Nigeria,CAF,AFCON: [-1 / -15],164.10,+1 (CAF),165.10
24,🇦🇺 Australia,AFC,Copa Asiática: [-8 / -8],162.00,+2 (AFC),164.00
25,🇵🇦 Panamá,CONCACAF,Copa Oro: [-1 / -25],160.60,+2 (CONCACAF),162.60
26,🇺🇿 Uzbekistán,AFC,Copa Asiática: [-8 / -15],159.55,+2 (AFC),161.55
27,🇸🇳 Senegal,CAF,AFCON: [-15 / 0],160.25,+1 (CAF),161.25
28,🇪🇬 Egipto,CAF,AFCON: [-15 / -1],159.90,+1 (CAF),160.90
29,🇨🇲 Camerún,CAF,AFCON: [-15 / -2],159.55,+1 (CAF),160.55
30,🇳🇿 Nueva Zelanda,OFC,Copa Naciones: [0 / 0] (Penalización de entorno),170.00,-10 (OFC),160.00
31,🇦🇹 Austria,UEFA,Euro 70% [-15 / -15] | UNL 30% [-40 / -25],144.30,+15 (UEFA),159.30
32,🇲🇦 Marruecos,CAF,AFCON: [-15 / -8],157.45,+1 (CAF),158.45
33,🇹🇷 Turquía,UEFA,Euro 70% [-8 / -25] | UNL 30% [-40 / -40],142.90,+15 (UEFA),157.90
34,🇯🇲 Jamaica,CONCACAF,Copa Oro: [-8 / -25],156.05,+2 (CONCACAF),158.05
35,🇵🇾 Paraguay,CONMEBOL,Copa América: [-25 / -8],150.95,+7 (CONMEBOL),157.95
36,🇯🇴 Jordania,AFC,Copa Asiática: [-1 / -40],155.35,+2 (AFC),157.35
37,🇮🇶 Irak,AFC,Copa Asiática: [-15 / -15],155.00,+2 (AFC),157.00
38,🏴󠁧󠁢󠁳󠁣󠁴󠁿 Escocia,UEFA,Euro 70% [-25 / -25] | UNL 30% [-25 / -40],141.40,+15 (UEFA),156.40
39,🇵🇱 Polonia,UEFA,Euro 70% [-25 / -15] | UNL 30% [-25 / -25],141.10,+15 (UEFA),156.10
40,🇿🇦 Sudáfrica,CAF,AFCON: [-2 / -40],154.70,+1 (CAF),155.70
41,🇺🇸 Estados Unidos,CONCACAF,Copa Oro: [-25 / 0],153.75,+2 (CONCACAF),155.75
42,🇳🇴 Noruega,UEFA,Euro 70% [-40 / -40] | UNL 30% [-15 / -25],140.25,+15 (UEFA),155.25
43,🇩🇿 Argelia,CAF,AFCON: [-25 / -25],153.75,+1 (CAF),154.75
44,🇨🇿 Chequia,UEFA,Euro 70% [-25 / -8] | UNL 30% [-40 / -25],139.10,+15 (UEFA),154.10
45,🇸🇪 Suecia,UEFA,Euro 70% [-40 / -15] | UNL 30% [-25 / -25],138.80,+15 (UEFA),153.80
46,🇸🇦 Arabia Saudita,AFC,Copa Asiática: [-15 / -25],151.50,+2 (AFC),153.50
47,🇷🇩 RD Congo,CAF,AFCON: [-3 / -40],152.05,+1 (CAF),153.05
48,🇹🇳 Túnez,CAF,AFCON: [-25 / -8],150.95,+1 (CAF),151.95
