equipo,grupo,ranking_fifa,rating_eafc26,primera_vez,tm_value_m,elim_pos,elim_total,tit_rec,pos_rec,tit_ant,pos_ant,conf,cwc_raw,fic_raw,pos_wc22,pos_wc18,ranking_score,tm_cat,elim_raw,copa_score,torneo_score,wc_score
México,A,15,77,0,150,1,1,1,1,1,2,CONCACAF,0.25,0.65,17,17,195,1,0.0,0.475,2.13,2.045
Corea del Sur,A,25,72,0,140,2,8,0,3,0,4,AFC,0.1,0.0,9,17,185,1,0.75,0.1661,1.63,2.3854
Sudáfrica,A,60,40,0,40,1,6,0,4,0,4,CAF,0.1,0.0,99,99,150,0,0.8333,0.1997,1.7799,0.0
Chequia,A,41,66,0,120,1,5,0,13,0,5,UEFA,0.0,0.0,99,99,169,1,0.8,0.08,1.44,0.0
Canadá,B,30,70,0,120,1,1,0,4,0,13,CONCACAF,0.0,0.0,17,99,180,1,0.0,0.09,0.0,1.3191
Bosnia-Herzegovina,B,35,66,0,95,1,4,0,99,0,99,UEFA,0.0,0.0,99,99,175,0,0.75,0.0,1.35,0.0
Qatar,B,56,59,0,55,1,6,2,1,2,1,AFC,0.45,0.0,17,99,154,0,0.8333,0.8938,2.7599,1.3191
Suiza,B,19,74,0,240,1,5,0,5,0,5,UEFA,0.0,0.0,9,17,191,1,0.8,0.24,1.44,2.3854
Brasil,C,6,83,0,1100,2,10,0,5,0,2,CONMEBOL,0.65,0.85,5,17,204,3,0.8,0.2559,5.13,2.5556
Marruecos,C,8,79,0,270,1,6,1,1,0,13,CAF,0.1,0.0,4,17,202,1,0.8333,0.4733,1.7799,2.5981
Haití,C,85,54,1,8,5,6,0,13,0,13,CONCACAF,0.0,0.0,99,99,125,0,0.1667,0.0,0.3001,0.0
Escocia,C,43,66,0,90,1,5,0,13,0,13,UEFA,0.0,0.0,99,99,167,0,0.8,0.0,1.44,0.0
Estados Unidos,D,16,74,0,420,1,1,0,13,1,1,CONCACAF,0.25,0.0,9,17,194,2,0.0,0.16,0.7,2.3854
Paraguay,D,40,65,0,85,6,10,0,13,0,13,CONMEBOL,0.0,0.0,17,17,170,0,0.4,0.0,0.72,2.045
Australia,D,27,70,0,120,2,8,0,5,0,13,AFC,0.0,0.0,9,17,183,1,0.75,0.0917,1.35,2.3854
Turquía,D,22,72,0,210,1,4,0,5,0,9,UEFA,0.0,0.0,17,17,188,1,0.75,0.2,1.35,2.045
Alemania,E,10,83,0,950,1,5,0,5,0,9,UEFA,0.45,0.0,17,17,200,3,0.8,0.2,2.7,2.045
